carat,cut,color,clarity,table,x,price
1.5,5,3,4,58.0,7.32,9.588
2.01,4,1,2,59.0,8.11,9.748
0.5,3,1,3,57.0,5.13,7.255
0.25,4,3,6,57.0,4.05,6.45
0.52,3,4,4,55.0,5.16,7.721
0.44,2,2,4,64.0,4.97,7.121
0.52,2,1,4,61.0,5.26,7.422000000000001
1.11,5,1,4,58.0,6.61,8.937999999999999
0.34,4,1,4,56.0,4.48,6.545
0.29,4,1,5,58.0,4.23,6.223
0.3,5,3,5,60.0,4.3,6.564
1.21,5,3,5,60.0,6.77,9.091000000000001
1.04,3,3,2,57.0,6.45,8.422
1.2,5,7,3,59.0,6.84,8.446
0.39,5,4,4,60.0,4.73,6.917000000000001
1.5,5,6,5,61.0,7.39,9.186
0.32,5,6,3,58.0,4.37,6.317
0.53,2,2,4,58.0,5.31,7.393
0.51,4,1,5,57.1,5.07,7.586
1.07,5,4,2,59.0,6.54,8.417
0.72,5,2,3,59.0,5.79,7.973
0.8,5,2,3,58.0,5.96,8.105
0.23,4,1,6,57.0,3.99,6.142
0.73,3,2,4,56.0,5.76,8.327
1.76,5,2,2,58.0,7.9,9.537
1.01,4,4,5,58.0,6.34,8.725
1.01,1,4,4,56.0,6.2,8.691
1.04,5,6,3,60.0,6.51,8.382
0.51,5,2,6,59.0,5.13,7.778
0.31,2,1,3,55.0,4.31,6.2989999999999995
0.66,4,1,7,55.0,5.6,8.104
0.53,3,5,5,56.0,5.26,7.382000000000001
1.12,4,1,3,61.0,6.74,8.603
0.92,5,1,3,58.0,6.19,8.385
0.3,3,3,3,56.0,4.3,6.162999999999999
0.3,3,1,4,56.0,4.33,6.7379999999999995
1.03,4,1,4,61.0,6.46,8.666
2.01,5,7,3,61.0,8.15,9.41
1.3,5,5,3,60.0,6.95,8.642999999999999
0.51,3,3,6,57.0,5.12,7.642
1.15,3,5,5,57.0,6.68,8.871
0.31,3,1,4,53.0,4.33,6.465
0.7,1,4,3,59.0,5.57,7.5920000000000005
1.05,5,4,4,58.0,6.48,8.729
0.82,4,5,3,56.0,5.9,7.975
1.09,3,5,3,57.0,6.6,8.542
0.3,3,2,4,55.0,4.35,6.657
2.01,5,5,2,58.0,8.06,9.666
1.16,5,4,2,58.0,6.72,8.511000000000001
1.0,4,4,5,59.0,6.52,8.834
1.12,5,2,2,60.0,6.9,8.538
0.35,3,2,4,55.0,4.56,6.968999999999999
0.31,3,3,8,54.0,4.33,6.825
0.8,2,1,2,59.0,5.94,7.841
0.52,4,4,4,58.0,5.08,7.261
1.52,2,5,3,57.0,7.3,9.218
0.33,3,5,7,56.0,4.42,6.553999999999999
0.36,4,1,3,56.0,4.58,6.447
0.56,3,2,5,56.0,5.3,7.562
1.01,3,1,7,57.0,6.45,9.32
1.07,5,4,2,59.0,6.54,8.39
0.31,3,5,4,57.0,4.34,6.443
0.35,5,1,3,59.0,4.57,6.669
1.25,5,6,4,57.0,6.92,8.687000000000001
0.41,3,1,5,57.0,4.77,7.05
1.17,2,7,3,55.0,6.66,8.307
2.25,1,5,1,58.0,8.01,8.802999999999999
1.53,5,3,2,60.0,7.28,9.151
0.4,3,5,6,55.7,4.72,6.808
0.77,3,1,2,55.0,6.01,7.949
1.16,5,5,2,61.0,6.93,8.333
0.77,3,3,5,57.0,5.88,8.128
0.53,3,2,2,56.0,5.22,7.181
2.19,5,7,2,58.0,8.57,9.228
0.42,3,1,4,56.0,4.77,6.865
0.53,5,3,4,58.0,5.26,7.736000000000001
0.31,3,4,6,53.0,4.37,6.518
0.7,5,1,2,59.0,5.65,7.729
